filename,width,height,class,ymin,xmin,ymax,xmax
00025_00033_00027.png,88,82,Road work,8,8,75,81
00012_00015_00018.png,48,51,Priority road,6,5,46,43
00002_00009_00024.png,98,91,Speed limit (50km/h),8,9,83,90
00001_00047_00012.png,41,40,Speed limit (30km/h),5,6,35,36
00001_00058_00017.png,52,50,Speed limit (30km/h),6,6,45,47
00003_00013_00024.png,59,59,Speed limit (60km/h),6,6,54,53
00004_00054_00002.png,36,36,Speed limit (70km/h),5,5,31,31
00002_00063_00022.png,38,37,Speed limit (50km/h),5,6,32,33
00002_00067_00025.png,72,71,Speed limit (50km/h),7,6,65,66
00038_00001_00021.png,53,69,Keep right,6,6,63,48
00003_00031_00020.png,45,47,Speed limit (60km/h),5,6,42,40
00008_00015_00024.png,52,49,Speed limit (120km/h),5,5,44,47
00010_00065_00028.png,44,46,No passing for vehicles over 3.5 metric tons,6,5,41,39
00013_00009_00026.png,74,71,Yield,7,7,65,68
00004_00037_00024.png,52,52,Speed limit (70km/h),5,5,47,47
00025_00023_00007.png,47,48,Road work,6,5,43,42
00001_00029_00014.png,46,47,Speed limit (30km/h),6,5,41,40
00013_00044_00000.png,39,36,Yield,5,5,31,34
00025_00046_00024.png,77,74,Road work,7,7,68,71
00009_00020_00014.png,30,31,No passing,6,6,26,25
00001_00048_00014.png,43,42,Speed limit (30km/h),5,6,37,38
00004_00061_00005.png,32,31,Speed limit (70km/h),5,6,26,27
00007_00015_00026.png,62,72,Speed limit (100km/h),7,5,66,57
00008_00021_00017.png,37,35,Speed limit (120km/h),5,5,30,32
00002_00066_00020.png,41,45,Speed limit (50km/h),6,5,40,36
00038_00043_00017.png,46,54,Keep right,6,6,49,41
00009_00024_00012.png,36,39,No passing,5,5,34,31
00013_00051_00006.png,35,30,Yield,5,6,25,30
00013_00029_00009.png,34,33,Yield,5,5,28,29
00010_00042_00028.png,62,67,No passing for vehicles over 3.5 metric tons,6,5,61,57
00007_00032_00018.png,49,50,Speed limit (100km/h),6,5,45,44
00002_00069_00018.png,29,29,Speed limit (50km/h),5,6,24,24
00038_00037_00019.png,55,54,Keep right,5,6,49,50
00001_00050_00007.png,39,39,Speed limit (30km/h),6,5,34,34
00003_00026_00007.png,29,29,Speed limit (60km/h),5,5,23,23
00002_00003_00013.png,55,54,Speed limit (50km/h),5,6,49,50
00008_00037_00023.png,46,47,Speed limit (120km/h),6,5,42,41
00025_00026_00005.png,36,32,Road work,5,6,27,31
00004_00054_00010.png,44,44,Speed limit (70km/h),5,6,39,39
00038_00027_00006.png,29,28,Keep right,5,6,23,24
00038_00015_00027.png,71,84,Keep right,8,7,77,65
00003_00021_00006.png,31,31,Speed limit (60km/h),5,5,26,26
00008_00016_00028.png,61,58,Speed limit (120km/h),5,6,53,56
00004_00008_00014.png,35,38,Speed limit (70km/h),5,5,32,30
00013_00065_00006.png,38,34,Yield,5,5,29,33
00010_00019_00012.png,41,40,No passing for vehicles over 3.5 metric tons,5,6,35,36
00008_00018_00000.png,33,36,Speed limit (120km/h),6,6,31,28
00003_00006_00019.png,62,67,Speed limit (60km/h),6,5,61,56
00005_00003_00003.png,28,28,Speed limit (80km/h),6,5,23,23
00038_00068_00021.png,54,54,Keep right,6,6,49,49
00010_00014_00019.png,44,44,No passing for vehicles over 3.5 metric tons,5,5,39,39
00012_00023_00006.png,34,35,Priority road,6,5,30,29
00004_00004_00025.png,107,103,Speed limit (70km/h),9,9,94,98
00007_00010_00017.png,42,41,Speed limit (100km/h),5,5,36,37
00012_00018_00029.png,145,155,Priority road,13,12,142,133
00012_00017_00014.png,45,45,Priority road,6,5,40,40
00005_00023_00004.png,32,32,Speed limit (80km/h),5,5,27,27
00007_00026_00007.png,28,29,Speed limit (100km/h),5,5,24,23
00002_00053_00002.png,30,29,Speed limit (50km/h),5,6,24,25
00008_00038_00025.png,43,45,Speed limit (120km/h),5,6,40,38
00007_00013_00008.png,35,35,Speed limit (100km/h),6,5,30,30
00012_00043_00001.png,27,27,Priority road,5,5,22,22
00002_00019_00019.png,48,49,Speed limit (50km/h),5,6,44,43
00007_00039_00003.png,30,30,Speed limit (100km/h),6,6,25,25
00012_00010_00020.png,63,55,Priority road,6,5,49,58
00013_00027_00024.png,37,36,Yield,5,5,31,32
00012_00019_00020.png,55,54,Priority road,5,5,49,50
00025_00033_00005.png,39,37,Road work,6,6,32,34
00025_00012_00029.png,135,125,Road work,11,12,114,123
00005_00044_00010.png,37,39,Speed limit (80km/h),5,5,34,31
00012_00016_00009.png,33,32,Priority road,5,6,26,27
00004_00029_00020.png,52,52,Speed limit (70km/h),6,6,47,47
00025_00047_00021.png,128,112,Road work,9,12,103,117
00002_00003_00003.png,50,49,Speed limit (50km/h),6,6,44,45
00025_00009_00017.png,42,40,Road work,6,5,34,36
00013_00027_00013.png,34,32,Yield,5,6,27,29
00012_00057_00023.png,48,49,Priority road,5,5,44,42
00005_00043_00023.png,48,48,Speed limit (80km/h),6,6,43,43
00002_00067_00015.png,43,42,Speed limit (50km/h),5,6,36,38
00012_00038_00003.png,35,35,Priority road,6,6,30,30
00010_00024_00018.png,44,45,No passing for vehicles over 3.5 metric tons,6,5,40,39
00005_00010_00012.png,35,37,Speed limit (80km/h),6,5,32,30
00013_00039_00007.png,35,32,Yield,6,5,27,30
00003_00018_00028.png,106,107,Speed limit (60km/h),10,9,98,97
00025_00043_00013.png,48,44,Road work,5,6,39,43
00003_00035_00019.png,47,48,Speed limit (60km/h),6,5,43,42
00012_00037_00014.png,60,59,Priority road,5,6,54,55
00004_00019_00023.png,70,70,Speed limit (70km/h),6,6,64,64
00002_00043_00016.png,37,36,Speed limit (50km/h),6,6,31,32
00004_00061_00002.png,30,29,Speed limit (70km/h),5,6,24,25
00025_00044_00013.png,47,45,Road work,5,6,40,42
00005_00039_00028.png,48,50,Speed limit (80km/h),5,5,45,43
00005_00042_00005.png,32,34,Speed limit (80km/h),6,6,29,27
00038_00042_00001.png,27,27,Keep right,5,6,22,22
00007_00013_00024.png,58,55,Speed limit (100km/h),5,6,50,53
00013_00033_00023.png,86,76,Yield,7,7,70,79
00001_00027_00019.png,48,51,Speed limit (30km/h),6,5,45,43
00008_00008_00014.png,39,39,Speed limit (120km/h),5,5,34,34
00038_00021_00018.png,43,41,Keep right,5,6,36,37
00008_00039_00011.png,37,39,Speed limit (120km/h),6,5,34,32
00005_00019_00028.png,72,70,Speed limit (80km/h),6,6,64,66
00005_00003_00023.png,43,44,Speed limit (80km/h),6,6,39,38
00004_00017_00010.png,34,36,Speed limit (70km/h),6,6,30,28
00038_00060_00028.png,70,76,Keep right,7,7,70,64
00007_00004_00026.png,74,75,Speed limit (100km/h),7,6,69,68
00001_00003_00016.png,42,43,Speed limit (30km/h),6,5,38,37
00009_00014_00015.png,47,46,No passing,5,6,41,42
00013_00061_00027.png,135,124,Yield,10,11,113,124
00004_00004_00013.png,57,57,Speed limit (70km/h),6,5,52,52
00004_00001_00028.png,68,70,Speed limit (70km/h),6,6,64,62
00012_00056_00023.png,60,61,Priority road,5,6,56,55
00038_00007_00004.png,33,32,Keep right,5,6,27,27
00008_00025_00011.png,32,32,Speed limit (120km/h),6,6,26,26
00010_00035_00022.png,54,52,No passing for vehicles over 3.5 metric tons,6,6,47,49
00025_00048_00012.png,41,49,Road work,6,6,44,36
00004_00021_00003.png,27,30,Speed limit (70km/h),5,5,25,22
00001_00034_00017.png,45,44,Speed limit (30km/h),5,6,39,40
00004_00065_00018.png,40,40,Speed limit (70km/h),6,6,35,35
00007_00024_00023.png,48,46,Speed limit (100km/h),5,6,41,43
00025_00021_00011.png,41,39,Road work,6,6,34,36
00010_00048_00003.png,30,30,No passing for vehicles over 3.5 metric tons,5,5,25,25
00008_00032_00015.png,38,38,Speed limit (120km/h),6,6,33,32
00013_00057_00023.png,124,110,Yield,9,11,101,114
00001_00006_00024.png,88,101,Speed limit (30km/h),9,7,93,81
00004_00040_00009.png,33,32,Speed limit (70km/h),5,6,27,28
00025_00012_00005.png,58,52,Road work,5,6,47,53
00008_00014_00012.png,40,43,Speed limit (120km/h),6,5,38,35
00007_00031_00003.png,28,28,Speed limit (100km/h),5,5,22,22
00003_00025_00016.png,40,40,Speed limit (60km/h),5,5,35,35
00013_00021_00017.png,49,41,Yield,5,6,36,43
00010_00021_00022.png,65,64,No passing for vehicles over 3.5 metric tons,5,6,59,60
00002_00010_00006.png,29,29,Speed limit (50km/h),6,5,24,24
00002_00057_00000.png,27,27,Speed limit (50km/h),6,6,22,21
00013_00002_00027.png,70,71,Yield,6,7,64,63
00012_00000_00013.png,35,38,Priority road,5,6,33,30
00001_00062_00019.png,45,45,Speed limit (30km/h),5,5,40,40
00004_00023_00013.png,35,35,Speed limit (70km/h),6,6,29,29
00038_00027_00024.png,36,36,Keep right,5,6,31,31
00003_00037_00028.png,119,123,Speed limit (60km/h),11,10,113,109
00010_00044_00028.png,50,48,No passing for vehicles over 3.5 metric tons,5,6,43,45
00002_00028_00026.png,50,50,Speed limit (50km/h),5,5,45,45
00038_00013_00016.png,36,38,Keep right,6,6,32,31
00001_00050_00013.png,45,43,Speed limit (30km/h),5,5,38,39
00008_00002_00009.png,31,31,Speed limit (120km/h),6,6,26,26
00002_00056_00024.png,60,61,Speed limit (50km/h),5,6,56,54
00013_00004_00002.png,31,28,Yield,6,5,22,26
00001_00068_00025.png,76,76,Speed limit (30km/h),7,7,70,70
00003_00040_00025.png,42,42,Speed limit (60km/h),5,6,37,37
00010_00011_00005.png,35,32,No passing for vehicles over 3.5 metric tons,5,6,27,30
00008_00004_00000.png,28,28,Speed limit (120km/h),5,5,23,23
00013_00055_00029.png,165,144,Yield,13,14,132,151
00003_00008_00005.png,30,30,Speed limit (60km/h),5,5,25,25
00002_00032_00014.png,37,36,Speed limit (50km/h),6,5,31,32
00012_00037_00010.png,50,51,Priority road,6,5,46,45
00012_00067_00021.png,57,58,Priority road,5,5,53,52
00004_00004_00011.png,56,55,Speed limit (70km/h),6,6,50,50
00010_00054_00015.png,41,42,No passing for vehicles over 3.5 metric tons,6,5,37,36
00007_00007_00001.png,33,33,Speed limit (100km/h),5,5,28,28
00038_00055_00017.png,63,64,Keep right,5,5,59,58
00025_00035_00007.png,33,31,Road work,5,6,26,28
00012_00018_00005.png,35,34,Priority road,5,6,29,30
00003_00025_00009.png,32,34,Speed limit (60km/h),6,5,29,27
00005_00046_00016.png,45,46,Speed limit (80km/h),6,6,41,40
00004_00041_00024.png,53,53,Speed limit (70km/h),5,5,48,48
00002_00043_00021.png,43,43,Speed limit (50km/h),5,5,38,38
00010_00002_00007.png,35,32,No passing for vehicles over 3.5 metric tons,5,6,27,30
00001_00007_00027.png,100,98,Speed limit (30km/h),8,8,90,92
00009_00037_00013.png,43,42,No passing,6,6,37,37
00012_00025_00028.png,92,93,Priority road,8,8,85,84
00003_00003_00003.png,33,33,Speed limit (60km/h),6,5,28,27
00013_00014_00017.png,74,68,Yield,7,7,62,68
00009_00027_00022.png,48,47,No passing,6,5,42,43
00004_00019_00012.png,42,42,Speed limit (70km/h),6,6,37,37
00012_00061_00001.png,37,41,Priority road,6,6,36,32
00010_00049_00003.png,29,30,No passing for vehicles over 3.5 metric tons,5,5,24,24
00004_00063_00028.png,89,88,Speed limit (70km/h),7,8,81,82
00003_00018_00026.png,85,85,Speed limit (60km/h),7,7,78,78
00008_00022_00024.png,60,59,Speed limit (120km/h),5,6,54,55
00038_00021_00017.png,41,40,Keep right,5,5,35,35
00005_00008_00029.png,120,130,Speed limit (80km/h),11,4,119,109
00012_00002_00018.png,55,58,Priority road,6,5,53,50
00038_00068_00005.png,29,30,Keep right,5,5,25,24
00013_00024_00019.png,62,57,Yield,6,5,52,57
00010_00013_00018.png,52,51,No passing for vehicles over 3.5 metric tons,5,6,46,47
00004_00039_00022.png,63,63,Speed limit (70km/h),5,5,58,58
00012_00025_00006.png,33,39,Priority road,6,5,34,28
00003_00043_00003.png,29,30,Speed limit (60km/h),5,5,25,24
00002_00058_00029.png,72,73,Speed limit (50km/h),6,6,67,66
00025_00025_00021.png,55,50,Road work,6,5,45,50
00012_00054_00009.png,36,37,Priority road,5,5,32,31
00012_00041_00019.png,41,41,Priority road,6,6,36,36
00004_00037_00007.png,33,34,Speed limit (70km/h),6,5,29,28
00001_00067_00001.png,32,33,Speed limit (30km/h),6,5,28,27
00005_00009_00022.png,64,63,Speed limit (80km/h),5,6,58,59
00013_00023_00004.png,29,34,Yield,5,6,28,23
00012_00062_00026.png,101,101,Priority road,9,9,93,93
00004_00055_00005.png,37,34,Speed limit (70km/h),6,6,29,32
00008_00032_00020.png,42,44,Speed limit (120km/h),6,6,38,37
00012_00057_00012.png,46,47,Priority road,5,6,42,41
00005_00008_00014.png,42,41,Speed limit (80km/h),5,6,36,37
00012_00044_00025.png,83,84,Priority road,8,7,77,76
00001_00029_00027.png,107,109,Speed limit (30km/h),9,10,99,98
00001_00067_00013.png,45,43,Speed limit (30km/h),5,6,38,39
00008_00023_00024.png,53,52,Speed limit (120km/h),5,6,47,48
00009_00013_00003.png,34,33,No passing,5,6,28,29
00002_00066_00009.png,38,40,Speed limit (50km/h),5,6,35,32
00003_00011_00022.png,58,58,Speed limit (60km/h),5,6,53,53
00007_00005_00018.png,57,56,Speed limit (100km/h),5,6,51,52
00010_00034_00004.png,31,28,No passing for vehicles over 3.5 metric tons,5,6,23,26
00005_00039_00020.png,37,39,Speed limit (80km/h),6,5,34,32
00001_00013_00027.png,81,82,Speed limit (30km/h),7,8,75,74
00009_00040_00000.png,42,42,No passing,5,6,37,37
00009_00020_00017.png,31,31,No passing,6,6,26,26
00003_00012_00026.png,65,65,Speed limit (60km/h),6,6,60,60
00013_00055_00007.png,43,40,Yield,5,5,35,38
00007_00007_00006.png,35,36,Speed limit (100km/h),6,5,31,30
00010_00030_00029.png,70,70,No passing for vehicles over 3.5 metric tons,6,6,64,64
00038_00058_00021.png,55,56,Keep right,6,5,51,50
00002_00024_00007.png,33,33,Speed limit (50km/h),6,5,28,28
00005_00034_00029.png,55,59,Speed limit (80km/h),5,5,54,50
00004_00011_00004.png,31,30,Speed limit (70km/h),6,6,25,25
00025_00011_00011.png,73,75,Road work,6,7,69,66
00008_00014_00018.png,47,50,Speed limit (120km/h),6,5,45,42
00004_00051_00013.png,41,39,Speed limit (70km/h),6,6,34,35
00009_00007_00025.png,73,72,No passing,6,7,66,66
00007_00031_00019.png,39,38,Speed limit (100km/h),5,6,33,33
00007_00003_00023.png,64,68,Speed limit (100km/h),6,6,62,59
00007_00017_00020.png,45,44,Speed limit (100km/h),5,6,39,40
00001_00055_00002.png,53,59,Speed limit (30km/h),5,6,54,48
00009_00011_00026.png,99,101,No passing,9,9,92,90
00038_00016_00028.png,69,84,Keep right,8,7,77,63
00008_00023_00016.png,40,40,Speed limit (120km/h),5,5,35,35
00012_00016_00015.png,38,37,Priority road,5,5,32,33
00002_00043_00028.png,68,68,Speed limit (50km/h),7,7,62,62
00010_00041_00014.png,35,35,No passing for vehicles over 3.5 metric tons,6,5,30,30
00013_00057_00006.png,81,72,Yield,7,7,66,74
00005_00040_00008.png,29,29,Speed limit (80km/h),5,5,24,24
00007_00023_00010.png,32,33,Speed limit (100km/h),6,5,28,27
00005_00003_00020.png,39,39,Speed limit (80km/h),6,6,33,34
00009_00046_00017.png,67,61,No passing,6,6,56,61
00008_00024_00003.png,33,34,Speed limit (120km/h),6,5,29,28
00010_00050_00025.png,52,52,No passing for vehicles over 3.5 metric tons,6,5,47,47
00007_00016_00027.png,113,113,Speed limit (100km/h),10,10,104,104
00001_00056_00017.png,55,57,Speed limit (30km/h),6,5,52,50
00007_00011_00008.png,40,39,Speed limit (100km/h),5,6,34,35
00003_00039_00005.png,30,30,Speed limit (60km/h),5,6,25,25
00038_00027_00000.png,27,27,Keep right,6,5,22,22
00038_00032_00027.png,80,84,Keep right,8,7,77,73
00038_00062_00013.png,34,35,Keep right,6,5,30,29
00002_00011_00022.png,50,45,Speed limit (50km/h),5,6,40,45
00025_00049_00026.png,91,89,Road work,8,8,81,83
00008_00038_00027.png,43,47,Speed limit (120km/h),6,5,42,38
00013_00058_00003.png,29,27,Yield,5,6,22,24
00010_00023_00006.png,36,37,No passing for vehicles over 3.5 metric tons,6,6,32,31
00004_00007_00019.png,40,41,Speed limit (70km/h),6,6,35,35
00038_00022_00023.png,50,52,Keep right,5,6,46,44
00012_00027_00021.png,57,56,Priority road,5,6,51,52
00003_00001_00019.png,39,40,Speed limit (60km/h),6,5,35,34
00012_00046_00028.png,64,62,Priority road,6,6,57,59
00008_00015_00007.png,34,32,Speed limit (120km/h),6,5,27,29
00004_00008_00013.png,34,38,Speed limit (70km/h),6,5,32,29
